LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,99951
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 13:09:43,0                 
Time,Ampl
-0.037487293,0.15733
-0.037486793,0.157343
-0.037486293,0.157347
-0.037485793,0.157347
-0.037485293,0.157343
-0.037484793,0.157325
-0.037484293,0.157304
-0.037483793,0.157274
-0.037483293,0.157239
-0.037482793,0.157196
-0.037482293,0.157144
-0.037481793,0.157097
-0.037481293,0.157041
-0.037480793,0.156985
-0.037480293,0.156933
-0.037479793,0.156877
-0.037479293,0.156825
-0.037478793,0.156782
-0.037478293,0.156739
-0.037477793,0.156705
-0.037477293,0.156679
-0.037476793,0.156657
-0.037476293,0.156644
-0.037475793,0.15664
-0.037475293,0.156644
-0.037474793,0.156653
-0.037474293,0.15667
-0.037473793,0.156692
-0.037473293,0.156713
-0.037472793,0.156743
-0.037472293,0.156774
-0.037471793,0.156799
-0.037471293,0.156825
-0.037470793,0.156847
-0.037470293,0.156868
-0.037469793,0.156881
-0.037469293,0.15689
-0.037468793,0.156899
-0.037468293,0.156894
-0.037467793,0.156894
-0.037467293,0.15689
-0.037466793,0.156881
-0.037466293,0.156868
-0.037465793,0.156855
-0.037465293,0.156838
-0.037464793,0.156825
-0.037464293,0.156812
-0.037463793,0.156799
-0.037463293,0.156791
-0.037462793,0.156786
-0.037462293,0.156791
-0.037461793,0.156799
-0.037461293,0.156812
-0.037460793,0.156834
-0.037460293,0.156855
-0.037459793,0.156886
-0.037459293,0.15692
-0.037458793,0.156963
-0.037458293,0.157006
-0.037457793,0.157054
-0.037457293,0.157106
-0.037456793,0.157157
-0.037456293,0.157218
-0.037455793,0.157274
-0.037455293,0.15733
-0.037454793,0.157386
-0.037454293,0.157442
-0.037453793,0.157494
-0.037453293,0.157545
-0.037452793,0.157593
-0.037452293,0.157636
-0.037451793,0.157675
-0.037451293,0.157709
-0.037450793,0.157739
-0.037450293,0.157761
-0.037449793,0.157778
-0.037449293,0.157787
-0.037448793,0.157791
-0.037448293,0.157791
-0.037447793,0.157787
-0.037447293,0.157778
-0.037446793,0.157761
-0.037446293,0.157748
-0.037445793,0.157727
-0.037445293,0.157705
-0.037444793,0.157679
-0.037444293,0.157653
-0.037443793,0.157627
-0.037443293,0.157597
-0.037442793,0.157571
-0.037442293,0.15755
-0.037441793,0.157528
-0.037441293,0.157507
-0.037440793,0.157489
-0.037440293,0.157476
-0.037439793,0.157463
-0.037439293,0.157455
-0.037438793,0.157446
-0.037438293,0.157442
-0.037437793,0.157433
-0.037437293,0.157429
-0.037436793,0.15742
-0.037436293,0.157416
-0.037435793,0.157412
-0.037435293,0.157412
-0.037434793,0.157412
-0.037434293,0.157412
-0.037433793,0.157416
-0.037433293,0.157416
-0.037432793,0.15742
-0.037432293,0.157425
-0.037431793,0.157429
-0.037431293,0.157438
-0.037430793,0.157442
-0.037430293,0.157455
-0.037429793,0.157463
-0.037429293,0.157481
-0.037428793,0.157494
-0.037428293,0.157515
-0.037427793,0.157532
-0.037427293,0.15755
-0.037426793,0.157571
-0.037426293,0.157589
-0.037425793,0.157606
-0.037425293,0.157623
-0.037424793,0.15764
-0.037424293,0.157658
-0.037423793,0.15767
-0.037423293,0.157688
-0.037422793,0.157701
-0.037422293,0.157714
-0.037421793,0.157731
-0.037421293,0.157739
-0.037420793,0.157752
-0.037420293,0.157761
-0.037419793,0.157774
-0.037419293,0.157783
-0.037418793,0.157796
-0.037418293,0.157804
-0.037417793,0.157817
-0.037417293,0.157834
-0.037416793,0.157852
-0.037416293,0.157865
-0.037415793,0.157882
-0.037415293,0.157899
-0.037414793,0.157916
-0.037414293,0.157929
-0.037413793,0.157946
-0.037413293,0.157959
-0.037412793,0.157972
-0.037412293,0.157981
-0.037411793,0.157994
-0.037411293,0.158003
-0.037410793,0.158007
-0.037410293,0.158011
-0.037409793,0.158015
-0.037409293,0.158011
-0.037408793,0.158007
-0.037408293,0.158003
-0.037407793,0.157994
-0.037407293,0.157985
-0.037406793,0.157977
-0.037406293,0.157968
-0.037405793,0.157959
-0.037405293,0.157946
-0.037404793,0.157938
-0.037404293,0.157929
-0.037403793,0.157921
-0.037403293,0.157908
-0.037402793,0.157899
-0.037402293,0.157886
-0.037401793,0.157877
-0.037401293,0.157869
-0.037400793,0.15786
-0.037400293,0.157852
-0.037399793,0.157843
-0.037399293,0.157839
-0.037398793,0.157834
-0.037398293,0.15783
-0.037397793,0.157821
-0.037397293,0.157817
-0.037396793,0.157813
-0.037396293,0.157808
-0.037395793,0.1578
-0.037395293,0.157796
-0.037394793,0.157791
-0.037394293,0.157787
-0.037393793,0.157778
-0.037393293,0.157778
-0.037392793,0.15777
-0.037392293,0.157765
-0.037391793,0.157761
-0.037391293,0.157752
-0.037390793,0.157739
-0.037390293,0.157727
-0.037389793,0.157714
-0.037389293,0.157696
-0.037388793,0.157675
-0.037388293,0.157653
-0.037387793,0.157632
-0.037387293,0.157606
-0.037386793,0.157576
-0.037386293,0.157545
-0.037385793,0.157511
-0.037385293,0.157476
-0.037384793,0.157438
-0.037384293,0.157403
-0.037383793,0.157364
-0.037383293,0.157325
-0.037382793,0.157291
-0.037382293,0.157256
-0.037381793,0.157222
-0.037381293,0.157187
-0.037380793,0.157162
-0.037380293,0.157131
-0.037379793,0.15711
-0.037379293,0.157093
-0.037378793,0.157075
-0.037378293,0.157062
-0.037377793,0.157054
-0.037377293,0.15705
-0.037376793,0.157045
-0.037376293,0.15705
-0.037375793,0.157054
-0.037375293,0.157062
-0.037374793,0.157071
-0.037374293,0.15708
-0.037373793,0.157093
-0.037373293,0.157106
-0.037372793,0.157114
