LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,99978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 13:13:42,0                 
Time,Ampl
-0.037494211,0.887899
-0.037493711,0.889992
-0.037493211,0.891852
-0.037492711,0.893014
-0.037492211,0.894177
-0.037491711,0.894874
-0.037491211,0.895804
-0.037490711,0.896269
-0.037490211,0.896502
-0.037489711,0.896269
-0.037489211,0.896269
-0.037488711,0.896037
-0.037488211,0.895572
-0.037487711,0.894409
-0.037487211,0.893247
-0.037486711,0.891852
-0.037486211,0.890457
-0.037485711,0.888829
-0.037485211,0.887202
-0.037484711,0.885574
-0.037484211,0.883947
-0.037483711,0.88232
-0.037483211,0.881157
-0.037482711,0.879995
-0.037482211,0.879065
-0.037481711,0.877902
-0.037481211,0.87674
-0.037480711,0.875345
-0.037480211,0.87395
-0.037479711,0.872322
-0.037479211,0.870928
-0.037478711,0.8693
-0.037478211,0.868138
-0.037477711,0.866975
-0.037477211,0.866045
-0.037476711,0.865813
-0.037476211,0.865813
-0.037475711,0.866278
-0.037475211,0.86744
-0.037474711,0.868603
-0.037474211,0.870463
-0.037473711,0.87209
-0.037473211,0.873717
-0.037472711,0.875345
-0.037472211,0.87674
-0.037471711,0.877902
-0.037471211,0.878832
-0.037470711,0.87953
-0.037470211,0.879762
-0.037469711,0.87953
-0.037469211,0.87953
-0.037468711,0.879297
-0.037468211,0.879297
-0.037467711,0.879065
-0.037467211,0.879065
-0.037466711,0.879065
-0.037466211,0.879297
-0.037465711,0.879762
-0.037465211,0.880227
-0.037464711,0.880692
-0.037464211,0.881157
-0.037463711,0.881622
-0.037463211,0.882087
-0.037462711,0.88232
-0.037462211,0.88232
-0.037461711,0.881855
-0.037461211,0.880925
-0.037460711,0.879297
-0.037460211,0.877205
-0.037459711,0.874647
-0.037459211,0.871857
-0.037458711,0.869068
-0.037458211,0.866045
-0.037457711,0.86279
-0.037457211,0.86
-0.037456711,0.857443
-0.037456211,0.855118
-0.037455711,0.853258
-0.037455211,0.851166
-0.037454711,0.849538
-0.037454211,0.848608
-0.037453711,0.847678
-0.037453211,0.847446
-0.037452711,0.847678
-0.037452211,0.848608
-0.037451711,0.850701
-0.037451211,0.853258
-0.037450711,0.856746
-0.037450211,0.861163
-0.037449711,0.865813
-0.037449211,0.870463
-0.037448711,0.874647
-0.037448211,0.87767
-0.037447711,0.879762
-0.037447211,0.880692
-0.037446711,0.880692
-0.037446211,0.87953
-0.037445711,0.877205
-0.037445211,0.87488
-0.037444711,0.872322
-0.037444211,0.870928
-0.037443711,0.870463
-0.037443211,0.87116
-0.037442711,0.87302
-0.037442211,0.876507
-0.037441711,0.880692
-0.037441211,0.885574
-0.037440711,0.890457
-0.037440211,0.894874
-0.037439711,0.898594
-0.037439211,0.901616
-0.037438711,0.903476
-0.037438211,0.903709
-0.037437711,0.902779
-0.037437211,0.900919
-0.037436711,0.898129
-0.037436211,0.894642
-0.037435711,0.890689
-0.037435211,0.886969
-0.037434711,0.88325
-0.037434211,0.879762
-0.037433711,0.876507
-0.037433211,0.873717
-0.037432711,0.870928
-0.037432211,0.869068
-0.037431711,0.86744
-0.037431211,0.86651
-0.037430711,0.865813
-0.037430211,0.86558
-0.037429711,0.865348
-0.037429211,0.86558
-0.037428711,0.86558
-0.037428211,0.865813
-0.037427711,0.865813
-0.037427211,0.866045
-0.037426711,0.86651
-0.037426211,0.867208
-0.037425711,0.868138
-0.037425211,0.8693
-0.037424711,0.870928
-0.037424211,0.873252
-0.037423711,0.87581
-0.037423211,0.8786
-0.037422711,0.880925
-0.037422211,0.88325
-0.037421711,0.884644
-0.037421211,0.885574
-0.037420711,0.885342
-0.037420211,0.884179
-0.037419711,0.881855
-0.037419211,0.879065
-0.037418711,0.875345
-0.037418211,0.871625
-0.037417711,0.86744
-0.037417211,0.863488
-0.037416711,0.859768
-0.037416211,0.856746
-0.037415711,0.854188
-0.037415211,0.852328
-0.037414711,0.850933
-0.037414211,0.850468
-0.037413711,0.849771
-0.037413211,0.849306
-0.037412711,0.848841
-0.037412211,0.848376
-0.037411711,0.847446
-0.037411211,0.846283
-0.037410711,0.844424
-0.037410211,0.842564
-0.037409711,0.840239
-0.037409211,0.838146
-0.037408711,0.836286
-0.037408211,0.835124
-0.037407711,0.834891
-0.037407211,0.835589
-0.037406711,0.837449
-0.037406211,0.840471
-0.037405711,0.844656
-0.037405211,0.850003
-0.037404711,0.856281
-0.037404211,0.86279
-0.037403711,0.8693
-0.037403211,0.875345
-0.037402711,0.880692
-0.037402211,0.885109
-0.037401711,0.888364
-0.037401211,0.890224
-0.037400711,0.891154
-0.037400211,0.890922
-0.037399711,0.889759
-0.037399211,0.888132
-0.037398711,0.885807
-0.037398211,0.88325
-0.037397711,0.879995
-0.037397211,0.87674
-0.037396711,0.873252
-0.037396211,0.869998
-0.037395711,0.86651
-0.037395211,0.863488
-0.037394711,0.860465
-0.037394211,0.857676
-0.037393711,0.855118
-0.037393211,0.853491
-0.037392711,0.852096
-0.037392211,0.850933
-0.037391711,0.850236
-0.037391211,0.849538
-0.037390711,0.849073
-0.037390211,0.848608
-0.037389711,0.847911
-0.037389211,0.847213
-0.037388711,0.846051
-0.037388211,0.844656
-0.037387711,0.843261
-0.037387211,0.841866
-0.037386711,0.840704
-0.037386211,0.839774
-0.037385711,0.839309
-0.037385211,0.839774
-0.037384711,0.840936
-0.037384211,0.843029
-0.037383711,0.845818
-0.037383211,0.849306
-0.037382711,0.853258
-0.037382211,0.857211
-0.037381711,0.861395
-0.037381211,0.865348
-0.037380711,0.869068
-0.037380211,0.872787
-0.037379711,0.875577
-0.037379211,0.878135
-0.037378711,0.88046
-0.037378211,0.88232
-0.037377711,0.883947
-0.037377211,0.884877
-0.037376711,0.885342
-0.037376211,0.885574
-0.037375711,0.884877
-0.037375211,0.883947
-0.037374711,0.881855
-0.037374211,0.879297
-0.037373711,0.876042
-0.037373211,0.872787
-0.037372711,0.869765
-0.037372211,0.867208
-0.037371711,0.864883
-0.037371211,0.863488
-0.037370711,0.863023
-0.037370211,0.86372
-0.037369711,0.865115
-0.037369211,0.86744
-0.037368711,0.869998
-0.037368211,0.872787
-0.037367711,0.87488
-0.037367211,0.876972
-0.037366711,0.877902
-0.037366211,0.878367
-0.037365711,0.877437
-0.037365211,0.875577
-0.037364711,0.872787
-0.037364211,0.869765
-0.037363711,0.866278
-0.037363211,0.86279
-0.037362711,0.859303
-0.037362211,0.855816
-0.037361711,0.852793
-0.037361211,0.850468
-0.037360711,0.848608
-0.037360211,0.847678
-0.037359711,0.846748
-0.037359211,0.846516
-0.037358711,0.846516
-0.037358211,0.846981
-0.037357711,0.847911
-0.037357211,0.849073
-0.037356711,0.850468
-0.037356211,0.852096
-0.037355711,0.853491
-0.037355211,0.855118
-0.037354711,0.856513
-0.037354211,0.85814
-0.037353711,0.859303
-0.037353211,0.860465
-0.037352711,0.86093
-0.037352211,0.861628
-0.037351711,0.862093
-0.037351211,0.862558
-0.037350711,0.862558
-0.037350211,0.86279
-0.037349711,0.86279
-0.037349211,0.863023
-0.037348711,0.863023
-0.037348211,0.863023
-0.037347711,0.863023
-0.037347211,0.863255
