x-axis,1,2
second,Volt,Volt
-38.000000E-03,,
-37.993490E-03,,
-37.986979E-03,,
-37.980469E-03,,
-37.973958E-03,,
-37.967448E-03,+94.434360E-03,+2.068988648E+00
-37.960938E-03,+94.243405E-03,+2.068064025E+00
-37.954427E-03,+94.585114E-03,+2.064365533E+00
-37.947917E-03,+94.142903E-03,+2.064365533E+00
-37.941406E-03,+94.946923E-03,+2.063440909E+00
-37.934896E-03,+93.951948E-03,+2.058817794E+00
-37.928385E-03,+94.997174E-03,+2.056043925E+00
-37.921875E-03,+94.434360E-03,+2.058817794E+00
-37.915365E-03,+94.454461E-03,+2.055119302E+00
-37.908854E-03,+95.389134E-03,+2.055119302E+00
-37.902344E-03,+94.132853E-03,+2.054194678E+00
-37.895833E-03,+95.640390E-03,+2.049571562E+00
-37.889323E-03,+94.364009E-03,+2.045873071E+00
-37.882813E-03,+95.288631E-03,+2.045873071E+00
-37.876302E-03,+94.695666E-03,+2.045873071E+00
-37.869792E-03,+94.243406E-03,+2.044948446E+00
-37.863281E-03,+96.203204E-03,+2.041249955E+00
-37.856771E-03,+94.303707E-03,+2.040325331E+00
-37.850260E-03,+95.670541E-03,+2.036626840E+00
-37.843750E-03,+94.916772E-03,+2.035702215E+00
-37.837240E-03,+95.147928E-03,+2.031079099E+00
-37.830729E-03,+95.308732E-03,+2.027380609E+00
-37.824219E-03,+95.399184E-03,+2.027380609E+00
-37.817708E-03,+95.258481E-03,+2.026455984E+00
-37.811198E-03,+95.750943E-03,+2.021832868E+00
-37.804688E-03,+95.439385E-03,+2.019059002E+00
-37.798177E-03,+95.519788E-03,+2.021832868E+00
-37.791667E-03,+96.002199E-03,+2.017209752E+00
-37.785156E-03,+95.097678E-03,+2.013511262E+00
-37.778646E-03,+96.293656E-03,+2.013511262E+00
-37.772135E-03,+95.228331E-03,+2.013511262E+00
-37.765625E-03,+96.152953E-03,+2.012586637E+00
-37.759115E-03,+95.630340E-03,+2.008888146E+00
-37.752604E-03,+95.570039E-03,+2.008888146E+00
-37.746094E-03,+95.941898E-03,+2.008888146E+00
-37.739583E-03,+95.871546E-03,+2.007963521E+00
-37.733073E-03,+96.022300E-03,+2.004265031E+00
-37.726563E-03,+95.881596E-03,+2.004265031E+00
-37.720052E-03,+96.062501E-03,+2.004265031E+00
-37.713542E-03,+95.861496E-03,+2.003340405E+00
-37.707031E-03,+96.072551E-03,+1.999641915E+00
-37.700521E-03,+96.142902E-03,+1.999641915E+00
-37.694010E-03,+95.831346E-03,+1.999641915E+00
