indices,timestamp,pd_peaks,piezo_peaks,ld_peaks,freq,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
12864,-0.018491793,0.0447736,3.995571340470846,0.0144708596165906,377108945610922.8,0.005798827436528297,3.9938986665042107,0.00824859508651193,0.005857576386143728,7.417077818011388e-05,0.00010499813119713385,0.0001821315889083992,2.3508977616691396e-05
14924,-0.017461793,0.0224184,4.2639155740915164,0.0109420257031304,377109126401922.8,0.006242463705467209,4.2624689619862,0.011248175626668598,0.001622832100697108,6.598018187317027e-05,9.426511064112806e-05,0.00025768612896983007,6.0268024115800834e-05
16980,-0.016433793,0.0184123,4.531738750947874,0.0074200438943566,377109307192922.8,0.0070165372282288,4.53148916789299,0.01055773826421812,-0.0034999999999999996,0.00036791849961384613,0.00014240554566218518,0.0007912073197084413,0.00040557197350952795
38623,-0.0056122931,0.125776,7.351046612396083,-0.0296549811946,377111224766631.8,0.004182834062385219,7.352050412574066,0.009503232102124351,0.00013046401697090694,3.801808689039885e-05,8.568934255085012e-05,0.000153825012403792,1.3726479539426297e-05
43173,-0.0033372931,0.125608,7.943748681800962,-0.0374492502753008,377111633094631.8,0.002999538984150932,7.947662260826324,0.0107006279598574,0.00013631486173176565,4.73854715395038e-05,0.00016697406533649705,0.0003097295214587605,1.917888928735082e-05
47818,-0.0010147931,0.0775947,8.548825849358249,-0.0454062568423019,377112041422631.8,0.01024880604038157,8.549221861323181,0.015451638512903513,-0.0012688540952010031,4.8823551165708176e-05,7.00955814282776e-05,0.00014956990046134907,2.919686443654884e-05
