timestamp,volt_laser,volt_piezo,volt_ld
-0.02233362,1.17237,1.365240633768201,0.0035793168182440363
-0.02232862,1.17232,1.3652361917118505,0.0035786899398787746
-0.02232362,1.17227,1.3652317496555,0.003578063061513513
-0.02231862,1.17221,1.3652273075991497,0.003577436183148251
-0.02231362,1.17215,1.3652228655427991,0.0035768093047829894
-0.02230862,1.17208,1.3652184234864486,0.0035761824264177277
-0.02230362,1.17204,1.365213981430098,0.0035755555480524656
-0.02229862,1.17202,1.3652095393737478,0.0035749286696872043
-0.02229362,1.17202,1.3652050973173973,0.003574301791321942
-0.02228862,1.17203,1.3652006552610467,0.00357367491295668
-0.02228362,1.17207,1.3651962132046962,0.003573048034591419
-0.02227862,1.17213,1.365191771148346,0.0035724211562261567
-0.02227362,1.17219,1.3651873290919954,0.003571794277860895
-0.02226862,1.17226,1.3651828870356448,0.0035711673994956333
-0.02226362,1.17231,1.3651784449792943,0.0035705405211303716
-0.02225862,1.17236,1.365174002922944,0.0035699136427651094
-0.02225362,1.17239,1.3651695608665935,0.003569286764399848
-0.02224862,1.1724,1.365165118810243,0.003568659886034586
-0.02224362,1.17238,1.3651606767538924,0.0035680330076693243
-0.02223862,1.17235,1.365156234697542,0.0035674061293040626
-0.02223362,1.17232,1.3651517926411916,0.0035667792509388005
-0.02222862,1.17229,1.365147350584841,0.0035661523725735392
-0.02222362,1.17225,1.3651429085284905,0.003565525494208277
-0.02221862,1.17223,1.3651384664721402,0.0035648986158430154
-0.02221362,1.17221,1.3651340244157897,0.0035642717374777537
-0.02220862,1.17219,1.3651295823594392,0.0035636448591124916
-0.02220362,1.17219,1.3651251403030886,0.00356301798074723
-0.02219862,1.1722,1.3651206982467383,0.003562391102381968
-0.02219362,1.17221,1.3651162561903878,0.0035617642240167065
-0.02218862,1.17222,1.3651118141340373,0.0035611373456514448
-0.02218362,1.17223,1.3651073720776867,0.003560510467286183
-0.02217862,1.17222,1.3651029300213364,0.003559883588920921
-0.02217362,1.17219,1.365098487964986,0.0035592567105556597
-0.02216862,1.17215,1.3650940459086354,0.0035586298321903975
-0.02216362,1.17208,1.3650896038522848,0.0035580029538251354
-0.02215862,1.172,1.3650851617959345,0.003557376075459874
-0.02215362,1.1719,1.365080719739584,0.003556749197094612
-0.02214862,1.17179,1.3650762776832335,0.0035561223187293503
-0.02214362,1.17169,1.365071835626883,0.0035554954403640886
-0.02213862,1.17157,1.3650673935705326,0.003554868561998827
-0.02213362,1.17148,1.365062951514182,0.003554241683633565
-0.02212862,1.17141,1.3650585094578316,0.0035536148052683035
-0.02212362,1.17138,1.365054067401481,0.0035529879269030414
-0.02211862,1.17138,1.3650496253451307,0.0035523610485377797
-0.02211362,1.17143,1.3650451832887802,0.003551734170172518
-0.02210862,1.17152,1.3650407412324297,0.003551107291807256
-0.02210362,1.17165,1.3650362991760792,0.0035504804134419946
-0.02209862,1.17179,1.3650318571197289,0.0035498535350767324
-0.02209362,1.17196,1.3650274150633783,0.0035492266567114707
-0.02208862,1.17213,1.3650229730070278,0.003548599778346209
-0.02208362,1.17228,1.3650185309506773,0.0035479728999809473
-0.02207862,1.1724,1.365014088894327,0.003547346021615685
-0.02207362,1.1725,1.3650096468379764,0.0035467191432504235
-0.02206862,1.17256,1.365005204781626,0.003546092264885162
-0.02206362,1.17259,1.3650007627252756,0.0035454653865199
-0.02205862,1.17257,1.364996320668925,0.0035448385081546384
-0.02205362,1.17252,1.3649918786125745,0.0035442116297893763
-0.02204862,1.17244,1.364987436556224,0.003543584751424115
-0.02204362,1.17235,1.3649829944998735,0.003542957873058853
-0.02203862,1.17225,1.3649785524435232,0.0035423309946935907
-0.02203362,1.17215,1.3649741103871726,0.0035417041163283295
-0.02202862,1.17204,1.3649696683308221,0.0035410772379630673
-0.02202362,1.17194,1.3649652262744718,0.0035404503595978056
-0.02201862,1.17187,1.3649607842181213,0.003539823481232544
-0.02201362,1.17181,1.3649563421617708,0.0035391966028672822
-0.02200862,1.17177,1.3649519001054202,0.0035385697245020205
-0.02200362,1.17175,1.36494745804907,0.003537942846136759
-0.02199862,1.17175,1.3649430159927194,0.0035373159677714967
-0.02199362,1.17177,1.3649385739363689,0.003536689089406235
-0.02198862,1.1718,1.3649341318800183,0.0035360622110409733
-0.02198362,1.17183,1.364929689823668,0.003535435332675711
-0.02197862,1.17188,1.3649252477673175,0.00353480845431045
-0.02197362,1.17192,1.364920805710967,0.0035341815759451878
-0.02196862,1.17197,1.3649163636546164,0.003533554697579926
-0.02196362,1.17201,1.3649119215982661,0.0035329278192146644
-0.02195862,1.17204,1.3649074795419156,0.0035323009408494027
-0.02195362,1.17206,1.364903037485565,0.003531674062484141
-0.02194862,1.17208,1.3648985954292145,0.003531047184118879
-0.02194362,1.17207,1.3648941533728642,0.003530420305753617
-0.02193862,1.17204,1.3648897113165137,0.0035297934273883554
-0.02193362,1.17199,1.3648852692601632,0.0035291665490230937
-0.02192862,1.17192,1.3648808272038127,0.0035285396706578316
-0.02192362,1.17183,1.3648763851474623,0.0035279127922925703
-0.02191862,1.17173,1.3648719430911118,0.003527285913927308
-0.02191362,1.17162,1.3648675010347613,0.0035266590355620465
-0.02190862,1.1715,1.3648630589784108,0.003526032157196785
-0.02190362,1.17136,1.3648586169220605,0.0035254052788315227
-0.02189862,1.17124,1.36485417486571,0.003524778400466261
-0.02189362,1.17113,1.3648497328093594,0.0035241515221009993
-0.02188862,1.17105,1.3648452907530089,0.0035235246437357376
-0.02188362,1.17098,1.3648408486966586,0.003522897765370476
