freq_confoc,freq_non_confoc,volt_laser
-1246692586.0707712,-1234446079.0155501,0.0004090504
-1246572101.3406935,-1234326283.9482217,0.0035698544
-1246451614.7959118,-1234206487.057753,0.0035698544
-1246331126.4364223,-1234086688.3441434,0.0035698544
-1246210636.26223,-1233966887.8073945,0.0063587991
-1246090144.2733316,-1233847085.4475055,0.0067306584
-1245969650.4697285,-1233727281.2644782,0.0035698544
-1245849154.8514204,-1233607475.258309,0.0007809098
-1245728657.4184065,-1233487667.4290004,-0.0023798943
-1245608158.1706877,-1233367857.7765517,-0.0023798943
-1245487657.108262,-1233248046.3009639,0.0004090504
-1245367154.2311325,-1233128233.002235,0.0035698544
-1245246649.5393,-1233008417.8803687,0.0035698544
-1245126143.0327587,-1232888600.9353595,0.0035698544
-1245005634.7115145,-1232768782.167212,0.0035698544
-1244885124.5755644,-1232648961.5759234,0.0007809098
-1244764612.6249075,-1232529139.1614957,0.0031979951
-1244644098.8595486,-1232409314.9239297,0.0039417138
-1244523583.279482,-1232289488.8632216,0.0004090504
-1244403065.8847113,-1232169660.9793744,0.0035698544
-1244282546.6752348,-1232049831.272387,0.0035698544
-1244162025.6510534,-1231929999.7422585,0.0035698544
-1244041502.8121681,-1231810166.3889928,0.0035698544
-1243920978.158576,-1231690331.212586,0.0035698544
-1243800451.690279,-1231570494.213039,0.0035698544
-1243679923.4072762,-1231450655.3903518,0.0035698544
-1243559393.3095703,-1231330814.7445254,0.0035698544
-1243438861.3971567,-1231210972.275558,0.0035698544
-1243318327.6700401,-1231091127.9834523,0.0035698544
-1243197792.1282167,-1230971281.8682065,0.0035698544
-1243077254.7716885,-1230851433.9298205,0.0035698544
-1242956715.6004543,-1230731584.1682935,0.0035698544
-1242836174.6145182,-1230611732.5836282,0.0035698544
-1242715631.8138733,-1230491879.1758218,0.0035698544
-1242595087.1985254,-1230372023.9448762,0.0007809098
-1242474540.7684708,-1230252166.8907895,-0.0023798943
-1242353992.523713,-1230132308.0135655,0.0004090504
-1242233442.4642467,-1230012447.3131986,0.0035698544
-1242112890.5900774,-1229892584.7896934,0.0007809098
-1241992336.9012032,-1229772720.443048,0.0004090504
-1241871781.397622,-1229652854.2732615,0.0035698544
-1241751224.079339,-1229532986.2803388,0.0035698544
-1241630664.9463482,-1229413116.464273,0.0035698544
-1241510103.9986515,-1229293244.825068,0.0035698544
-1241389541.2362509,-1229173371.3627238,0.0035698544
-1241268976.6591444,-1229053496.0772376,0.0035698544
-1241148410.267335,-1228933618.968614,0.0035698544
-1241027842.0608187,-1228813740.0368485,0.0007809098
-1240907272.0395966,-1228693859.2819438,0.0004090504
-1240786700.2036705,-1228573976.7038999,0.0035698544
-1240666126.5530376,-1228454092.3027148,0.0035698544
-1240545551.0877008,-1228334206.0783906,0.0035698544
-1240424973.8076591,-1228214318.0309281,0.0035698544
-1240304394.7129116,-1228094428.1603246,0.0035698544
-1240183813.8034592,-1227974536.46658,0.0035698544
-1240063231.0793009,-1227854642.949695,0.0035698544
-1239942646.5404387,-1227734747.609672,0.0035698544
-1239822060.1868696,-1227614850.446509,0.0035698544
-1239701472.0185966,-1227494951.4602056,0.0035698544
-1239580882.0356169,-1227375050.6507611,0.0007809098
-1239460290.237935,-1227255148.0181794,-0.0023798943
-1239339696.6255455,-1227135243.5624557,0.0004090504
-1239219101.198451,-1227015337.2835917,0.0007809098
-1239098503.9566507,-1226895429.1815886,0.0004090504
-1238977904.9001465,-1226775519.2564473,0.0035698544
-1238857304.0289373,-1226655607.508165,0.0063587991
-1238736701.3430223,-1226535693.9367414,0.0067306584
-1238616096.8424015,-1226415778.5421786,0.0035698544
-1238495490.5270777,-1226295861.3244767,0.0035698544
-1238374882.397047,-1226175942.2836337,0.0035698544
-1238254272.4523096,-1226056021.4196506,0.0035698544
-1238133660.6928701,-1225936098.73253,0.0035698544
-1238013047.1187239,-1225816174.2222667,0.0007809098
-1237892431.7298727,-1225696247.888865,0.0004090504
-1237771814.5263157,-1225576319.7323222,0.0007809098
-1237651195.5080538,-1225456389.7526402,-0.0023798943
-1237530574.675088,-1225336457.949821,-0.0023798943
-1237409952.0274153,-1225216524.3238587,0.0004090504
-1237289327.5650377,-1225096588.8747573,0.0035698544
-1237168701.2879553,-1224976651.6025147,0.0035698544
-1237048073.196169,-1224856712.507135,0.0035698544
-1236927443.2896757,-1224736771.588613,0.0035698544
-1236806811.5684776,-1224616828.846952,0.0035698544
-1236686178.0325727,-1224496884.2821498,0.0063587991
-1236565542.681964,-1224376937.8942084,0.0067306584
-1236444905.516652,-1224256989.6831288,0.0035698544
-1236324266.5366335,-1224137039.6489081,0.0035698544
-1236203625.741909,-1224017087.7915483,0.0035698544
-1236082983.1324806,-1223897134.1110473,0.0035698544
-1235962338.7083464,-1223777178.607407,0.0035698544
-1235841692.4695053,-1223657221.2806268,0.0035698544
-1235721044.4159613,-1223537262.1307063,0.0035698544
-1235600394.5477114,-1223417301.1576457,0.0035698544
-1235479742.8647566,-1223297338.3614469,0.0063587991
-1235359089.367096,-1223177373.742106,0.0067306584
-1235238434.0547314,-1223057407.2996268,0.0063587991
-1235117776.927659,-1222937439.0340066,0.0067306584
-1234997117.9858837,-1222817468.9452472,0.0035698544
-1234876457.2294025,-1222697497.0333476,0.0035698544
-1234755794.6582174,-1222577523.2983098,0.0007809098
-1234635130.2723255,-1222457547.74013,0.0004090504
-1234514464.0717287,-1222337570.35881,0.0035698544
-1234393796.056427,-1222217591.1543508,0.0035698544
-1234273126.2264185,-1222097610.1267514,0.0035698544
-1234152454.581708,-1221977627.2760139,0.0035698544
-1234031781.1222897,-1221857642.6021342,0.0035698544
-1233911105.8481674,-1221737656.1051154,0.0035698544
-1233790428.7593403,-1221617667.7849565,0.0035698544
-1233669749.8558073,-1221497677.6416574,0.0035698544
-1233549069.1375675,-1221377685.675219,0.0035698544
-1233428386.6046247,-1221257691.8856416,0.0035698544
