freq_confoc,freq_non_confoc,volt_laser
-1144375716.7168293,-1137307838.647565,0.0876100548
-1144263025.9234042,-1137195242.6185522,0.0610221154
-1144150333.1666265,-1137082644.6374292,0.0340623167
-1144037638.4464998,-1136970044.7041974,0.0130522666
-1143924941.7630215,-1136857442.8188562,0.0063587991
-1143812243.1161938,-1136744838.9814062,0.0095196031
-1143699542.5060153,-1136632233.1918468,0.017886437
-1143586839.9324856,-1136519625.4501772,0.0385246277
-1143474135.395606,-1136407015.7563982,0.0567457331
-1143361428.8953762,-1136294404.1105113,0.0714341751
-1143248720.4317946,-1136181790.5125132,0.0837055319
-1143136010.0048628,-1136069174.9624052,0.0868663359
-1143023297.614581,-1135956557.4601889,0.0840773913
-1142910583.2609482,-1135843938.0058637,0.0725497534
-1142797866.9439654,-1135731316.5994287,0.0547005073
-1142685148.663631,-1135618693.2408843,0.0424291506
-1142572428.4199471,-1135506067.9302301,0.028112568
-1142459706.2129135,-1135393440.6674676,0.0071025179
-1142346982.0425267,-1135280811.4525948,-0.0023798943
-1142234255.9087915,-1135168180.2856126,-0.0023798943
-1142121527.8117046,-1135055547.166521,0.0087758843
-1142008797.7512674,-1134942912.0953193,0.0214191005
-1141896065.72748,-1134830275.072009,0.032574879
-1141783331.7403421,-1134717636.0965896,0.0480070398
-1141670595.7898526,-1134604995.1690607,0.0595346777
-1141557857.8760138,-1134492352.289422,0.0690170899
-1141445117.9988246,-1134379707.4576745,0.0662281453
-1141332376.1582837,-1134267060.6738172,0.0630673412
-1141219632.354394,-1134154411.937851,0.0602783966
-1141106886.587151,-1134041761.2497745,0.0431728694
-1140994138.8565598,-1133929108.609589,0.0217909599
-1140881389.1626167,-1133816454.0172935,0.0098914625
-1140768637.505324,-1133703797.4728894,0.0035698544
-1140655883.8846798,-1133591138.9763756,0.0007809098
-1140543128.300686,-1133478478.5277529,0.0004090504
-1140430370.7533417,-1133365816.1270204,0.0091477437
-1140317611.2426462,-1133253151.774179,0.0238361857
-1140204849.7686,-1133140485.4692273,0.0388964871
-1140092086.331203,-1133027817.2121668,0.0507959844
-1139979320.9304566,-1132915147.0029964,0.0599065372
-1139866553.5663586,-1132802474.8417163,0.0658562858
-1139753784.2389107,-1132689800.7283273,0.0634392007
-1139641012.9481115,-1132577124.6628294,0.0515397033
-1139528239.693963,-1132464446.6452217,0.0396402059
-1139415464.4764633,-1132351766.6755047,0.0277407086
-1139302687.2956123,-1132239084.7536783,0.0186301558
-1139189908.151412,-1132126400.8797426,0.0098914625
-1139077127.043861,-1132013715.053698,0.0007809098
-1138964343.9729586,-1131901027.2755427,0.0004090504
-1138851558.9387054,-1131788337.5452785,0.006358799
-1138738771.941103,-1131675645.8629045,0.0150974924
-1138625982.9801488,-1131562952.2284217,0.0269969897
-1138513192.0558453,-1131450256.6418295,0.0388964871
-1138400399.168191,-1131337559.1031275,0.0507959844
-1138287604.317185,-1131224859.6123166,0.0599065372
-1138174807.5028296,-1131112158.1693964,0.057489452
-1138062008.7251225,-1130999454.7743664,0.0483788992
-1137949207.984066,-1130886749.4272275,0.0396402059
-1137836405.2796583,-1130774042.1279788,0.0249517639
-1137723600.6119003,-1130661332.8766208,0.0126804072
-1137610793.980791,-1130548621.6731524,0.0067306585
-1137497985.3863325,-1130435908.5175753,0.0007809098
-1137385174.8285232,-1130323193.4098892,0.0004090504
-1137272362.3073626,-1130210476.3500938,0.006358799
-1137159547.8228521,-1130097757.3381891,0.017886437
-1137046731.3749905,-1129985036.3741746,0.0329467384
-1136933912.9637785,-1129872313.4580507,0.0392683465
-1136821092.5892158,-1129759588.5898175,0.0448462358
-1136708270.2513032,-1129646861.769475,0.0511678439
-1136595445.950039,-1129534132.9970226,0.0483788992
-1136482619.6854253,-1129421402.2724605,0.0396402059
-1136369791.4574614,-1129308669.59579,0.0277407086
-1136256961.2661452,-1129195934.9670095,0.0130522666
-1136144129.1114798,-1129083198.3861198,0.0007809098
-1136031294.993463,-1128970459.8531208,0.0004090504
-1135918458.9120965,-1128857719.3680124,0.0035698544
-1135805620.8673787,-1128744976.9307947,0.0007809098
-1135692780.859311,-1128632232.5414677,0.003197995
-1135579938.8878918,-1128519486.2000308,0.0123085477
-1135467094.953123,-1128406737.9064841,0.021047241
-1135354249.0550041,-1128293987.6608286,0.0329467384
-1135241401.193533,-1128181235.4630637,0.0420572911
-1135128551.368713,-1128068481.3131895,0.0452180952
-1135015699.5805411,-1127955725.211206,0.0424291506
-1134902845.8290195,-1127842967.157113,0.0364794019
-1134789990.1141462,-1127730207.1509104,0.0277407086
-1134677132.435924,-1127617445.1925988,0.0158412112
-1134564272.7943497,-1127504681.282178,0.0067306585
-1134451411.1894264,-1127391915.4196472,0.0007809098
-1134338547.621152,-1127279147.6050062,-0.0023798943
-1134225682.0895262,-1127166377.8382568,0.0004090504
-1134112814.594551,-1127053606.119398,0.0091477437
-1133999945.1362243,-1126940832.4484296,0.021047241
-1133887073.7145476,-1126828056.8253522,0.0301577938
-1133774200.3295197,-1126715279.250165,0.0388964871
-1133661324.981142,-1126602499.722869,0.0480070398
-1133548447.669413,-1126489718.243463,0.0483788992
-1133435568.3943348,-1126376934.8119478,0.0452180952
-1133322687.1559052,-1126264149.4283233,0.0396402059
-1133209803.9541245,-1126151362.0925884,0.0277407086
-1133096918.7889943,-1126038572.8047447,0.0186301558
-1132984031.6605124,-1125925781.5647922,0.0098914625
-1132871142.5686808,-1125812988.3727298,0.0035698544
-1132758251.5134983,-1125700193.2285585,0.0035698544
-1132645358.4949656,-1125587396.1322775,0.006358799
-1132532463.5130816,-1125474597.083887,0.0150974924
-1132419566.5678482,-1125361796.0833874,0.0269969897
-1132306667.6592636,-1125248993.1307778,0.0388964871
-1132193766.7873282,-1125136188.2260594,0.0452180952
-1132080863.9520426,-1125023381.3692303,0.0452180952
-1131967959.1534061,-1124910572.5602932,0.0452180952
-1131855052.39142,-1124797761.7992463,0.0452180952
-1131742143.666082,-1124684949.08609,0.0396402059
-1131629232.977394,-1124572134.4208245,0.0249517639
-1131516320.3253555,-1124459317.8034496,0.0154693518
-1131403405.7099667,-1124346499.233965,0.0126804072
-1131290489.1312275,-1124233678.7123713,0.0123085477
-1131177570.589137,-1124120856.238668,0.0154693518
-1131064650.0836968,-1124008031.8128548,0.0182582964
-1130951727.6149049,-1123895205.4349327,0.0269969897
-1130838803.1827636,-1123782377.1049013,0.0333185978
-1130725876.7872705,-1123669546.8227606,0.0388964871
-1130612948.4284282,-1123556714.58851,0.0452180952
-1130500018.106234,-1123443880.4021506,0.0452180952
-1130387085.8206906,-1123331044.2636814,0.0452180952
-1130274151.5717964,-1123218206.1731033,0.0396402059
-1130161215.359551,-1123105366.1304154,0.0333185978
-1130048277.1839557,-1122992524.1356182,0.0305296532
-1129935337.0450087,-1122879680.1887107,0.0217909599
-1129822394.9427128,-1122766834.2896948,0.0154693518
-1129709450.8770647,-1122653986.438569,0.0182582964
-1129596504.8480673,-1122541136.6353345,0.0242080451
-1129483556.8557181,-1122428284.8799906,0.0301577938
-1129370606.9000196,-1122315431.1725368,0.0361075424
-1129257654.9809704,-1122202575.5129738,0.0392683465
-1129144701.0985699,-1122089717.9013014,0.0420572911
-1129031745.25282,-1121976858.3375196,0.0452180952
-1128918787.443718,-1121863996.8216286,0.0452180952
-1128805827.6712666,-1121751133.3536267,0.0424291506
-1128692865.935464,-1121638267.933517,0.0364794019
-1128579902.2363114,-1121525400.5612974,0.0333185978
-1128466936.5738077,-1121412531.236969,0.0333185978
-1128353968.9479542,-1121299659.9605303,0.0305296532
-1128240999.3587499,-1121186786.7319832,0.0273688491
-1128128027.8061943,-1121073911.5513258,0.0273688491
-1128015054.290289,-1120961034.4185596,0.0273688491
-1127902078.8110323,-1120848155.333684,0.0301577938
-1127789101.3684263,-1120735274.2966986,0.0333185978
-1127676121.9624681,-1120622391.307603,0.0361075424
-1127563140.593161,-1120509506.3663988,0.0392683465
-1127450157.2605019,-1120396619.4730854,0.0392683465
-1127337171.9644933,-1120283730.6276627,0.0392683465
-1127224184.7051344,-1120170839.8301306,0.0392683465
-1127111195.4824238,-1120057947.0804892,0.0392683465
-1126998204.2963638,-1119945052.3787384,0.0420572911
-1126885211.1469522,-1119832155.7248778,0.0452180952
-1126772216.0341907,-1119719257.118908,0.0452180952
-1126659218.958078,-1119606356.5608277,0.0424291506
-1126546219.9186153,-1119493454.0506392,0.0392683465
-1126433218.9158015,-1119380549.5883412,0.0364794019
-1126320215.9496384,-1119267643.173934,0.0333185978
-1126207211.0201244,-1119154734.807417,0.0333185978
-1126094204.1272583,-1119041824.488791,0.0388964871
-1125981195.2710433,-1118928912.2180552,0.0452180952
-1125868184.4514766,-1118815997.9952102,0.0452180952
-1125755171.6685605,-1118703081.8202562,0.0480070398
-1125642156.9222927,-1118590163.6931925,0.0539567885
-1125529140.2126756,-1118477243.614018,0.0599065372
-1125416121.5397062,-1118364321.5827355,0.0630673412
-1125303100.903387,-1118251397.5993428,0.0602783966
-1125190078.303719,-1118138471.6638422,0.0626954818
-1125077053.7406983,-1118025543.7762313,0.0690170899
-1124964027.2143283,-1117912613.936511,0.0690170899
-1124850998.7246065,-1117799682.1446815,0.0745949792
-1124737968.2715354,-1117686748.4007425,0.0864944765
-1124624935.855113,-1117573812.7046943,0.0928160846
-1124511901.4753404,-1117460875.0565367,0.0956050292
-1124398865.132216,-1117347935.4562674,0.0959768887
-1124285826.8257432,-1117234993.9038916,0.0956050292
-1124172786.5559192,-1117122050.3994055,0.1015547779
-1124059744.3227434,-1117009104.94281,0.1075045266
-1123946700.1262188,-1116896157.5341053,0.1134542753
-1123833653.966342,-1116783208.1732912,0.1166150793
-1123720605.8431158,-1116670256.8603678,0.1221929686
-1123607555.756538,-1116557303.595335,0.1313035213
-1123494503.7066107,-1116444348.3781924,0.1344643254
-1123381449.6933317,-1116331391.2089405,0.13725327
-1123268393.7167034,-1116218432.0875783,0.1404140741
-1123155335.7767239,-1116105471.0141072,0.1459919633
-1123042275.873394,-1115992507.9885278,0.155102516
-1122929214.0067139,-1115879543.0108385,0.166630154
-1122816150.1766825,-1115766576.0810394,0.1789015108
-1122703084.3833013,-1115653607.1991315,0.1904291487
-1122590016.6265683,-1115540636.3651142,0.2027005055
-1122476946.906486,-1115427663.5789871,0.2030723649
-1122363875.2230525,-1115314688.8407507,0.1943336716
-1122250801.5762682,-1115201712.150404,0.1796452296
-1122137725.966135,-1115088733.5079489,0.1673738728
-1122024648.3926497,-1114975752.913384,0.1586351795
-1121911568.855814,-1114862770.3667097,0.1467356822
-1121798487.355628,-1114749785.8679266,0.1376251294
