timestamp,volt_laser,volt_piezo,piezo_fitted,offset
-0.01604401,0.099604675,-5.065175825,-5.051595611175648,0.0006743285020842371
-0.0160375,0.099787647,-5.065175825,-5.049450421504069,0.0008554781298542452
-0.01603099,0.099799669,-5.065175825,-5.047305231832491,0.0008656777576242641
-0.016024479,0.099614759,-5.062088281,-5.04515971263869,0.0006789451054600021
-0.016017969,0.099697172,-5.05726416,-5.043014522967112,0.000759535733230024
-0.016011458,0.099508217,-5.052440039,-5.0408690037733095,0.0005687580810657539
-0.016004948,0.099606725,-5.050703463,-5.038723814101732,0.0006654437088357834
-0.015998437,0.099733351,-5.047615919,-5.0365782949079305,0.0007902470566715225
-0.015991927,0.099701189,-5.042791798,-5.034433105236352,0.0007562626844415388
-0.015985417,0.099683099,-5.037967677,-5.032287915564773,0.0007363503122115589
-0.015978906,0.099618776,-5.036231102,-5.030142396370972,0.0006702046600473022
-0.015972396,0.099582597,-5.036231102,-5.027997206699394,0.0006322032878173095
-0.015965885,0.099646921,-5.033143557,-5.025851687505592,0.0006947046356530484
-0.015959375,0.099747423,-5.031406981,-5.023706497834015,0.0007933842634230831
-0.015952865,0.099815764,-5.031406981,-5.021561308162436,0.0008599028911931011
-0.015946354,0.100091149,-5.028319436,-5.019415788968634,0.0011334652390288386
-0.015939844,0.099560463,-5.026582861,-5.017270599297056,0.0006009568667988546
-0.015933333,0.09940572,-5.026582861,-5.015125080103255,0.0004443912146345902
-0.015926823,0.099886127,-5.023495315,-5.0129798904316765,0.0009229758424046108
-0.015920312,0.099667004,-5.02175874,-5.010834371237875,0.0007020301902403436
-0.015913802,0.099978596,-5.02175874,-5.0086891815662975,0.0010117998180103754
-0.015907292,0.099964495,-5.02175874,-5.006543991894718,0.0009958764457803915
-0.015900781,0.099815764,-5.018671194,-5.004398472700917,0.0008453227936161267
-0.015894271,0.099898177,-5.01693462,-5.002253283029339,0.0009259134213861486
-0.01588776,0.099709222,-5.01693462,-5.000107763835538,0.0007351357692218785
-0.01588125,0.099904216,-5.013847073,-4.997962574163958,0.0009283073969919009
-0.01587474,0.099956462,-5.012110499,-4.99581738449238,0.0009787310247619252
-0.015868229,0.099916266,-5.012110499,-4.993671865298579,0.0009367123725976673
-0.015861719,0.099934356,-5.009022953,-4.991526675627001,0.0009529800003676842
-0.015855208,0.099741384,-5.007286379,-4.9893811564332,0.000758185348203419
-0.015848698,0.09982582,-5.004198832,-4.987235966761622,0.0008407989759734308
-0.015842187,0.09983787,-5.002462258,-4.98509044756782,0.0008510263238091648
-0.015835677,0.099815764,-4.999374711,-4.982945257896241,0.0008270979515791893
-0.015829167,0.099930339,-4.997638137,-4.980800068224664,0.0009398505793492273
-0.015822656,0.099823797,-4.997638137,-4.978654549030862,0.0008314859271849606
-0.015816146,0.099861998,-4.99455059,-4.976509359359283,0.0008678645549549668
-0.015809635,0.099870032,-4.992814017,-4.9743638401654815,0.0008740759027907052
-0.015803125,0.099769529,-4.98972647,-4.972218650493904,0.000771750530560722
-0.015796615,0.09989416,-4.987989896,-4.970073460822325,0.0008945591583307544
-0.015790104,0.099823797,-4.984902349,-4.967927941628524,0.000822373506166485
-0.015783594,0.099958484,-4.980078228,-4.965782751956946,0.0009552381339365118
-0.015777083,0.100052947,-4.975254108,-4.963637232763144,0.0010478784817722492
-0.015770573,0.09990621,-4.973517535,-4.961492043091566,0.0008993191095422598
-0.015764062,0.099962501,-4.970429987,-4.959346523897764,0.0009537874573779942
-0.015757552,0.10006702,-4.968693414,-4.957201334226187,0.001056484085148024
-0.015751042,0.099570518,-4.968693414,-4.955056144554608,0.0005581597129180466
-0.015744531,0.100245948,-4.965605866,-4.952910625360806,0.0012317670607537717
-0.015738021,0.099759444,-4.960781746,-4.950765435689228,0.0007434406885238054
-0.01573151,0.09988815,-4.959045173,-4.948619916495427,0.0008703240363595321
-0.015725,0.099964495,-4.955957625,-4.9464747268238485,0.0009448466641295561
-0.01571849,0.09975144,-4.951133504,-4.944329537152271,0.0007299692918995709
-0.015711979,0.100087132,-4.949396932,-4.942184017958469,0.001063838639735304
-0.015705469,0.099996657,-4.949396932,-4.94003882828689,0.0009715412675053436
-0.015698958,0.099994663,-4.949396932,-4.937893309093089,0.000967724615341059
-0.015692448,0.0999243,-4.949396932,-4.935748119421511,0.0008955392431110876
-0.015685937,0.099962501,-4.946309383,-4.93360260022771,0.0009319175909468236
-0.015679427,0.099874048,-4.944572811,-4.93145741055613,0.0008416422187168537
-0.015672917,0.09991225,-4.944572811,-4.929312220884553,0.0008780218464868594
-0.015666406,0.100016769,-4.941485263,-4.927166701690751,0.000980718194322605
-0.015659896,0.099874048,-4.939748691,-4.925021512019173,0.000836174822092639
-0.015653385,0.09991225,-4.939748691,-4.922875992825371,0.0008725541699283468
-0.015646875,0.099984607,-4.939748691,-4.920730803153793,0.0009430887976983882
-0.015640365,0.099984607,-4.936661142,-4.918585613482215,0.0009412664254684067
-0.015633854,0.099984607,-4.93492457,-4.916440094288413,0.0009394437733041411
-0.015627344,0.099952445,-4.931837021,-4.914294904616836,0.0009054594010741573
-0.015620833,0.09983787,-4.93010045,-4.912149385423034,0.0007890617489098861
-0.015614323,0.099783602,-4.9270129,-4.910004195751455,0.0007329713766799223
-0.015607812,0.09975144,-4.92218878,-4.907858676557654,0.0006989867245156545
-0.015601302,0.100087132,-4.920452209,-4.905713486886075,0.0010328563522856715
-0.015594792,0.099868009,-4.917364659,-4.903568297214497,0.0008119109800556884
-0.015588281,0.10030825,-4.915628088,-4.901422778020696,0.0012503293278914307
