indices,timestamp,photodiode,piezo_peaks,freq,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
596,0.008682552,0.034266336,3.079376357981375,377111224766631.8,0.0028293082601914023,3.0829643889167624,0.01453276646616651,-3.308944801401016e-05,0.0001988046468603933,0.0010211542110099483,0.0014860418262321283,1.7658100085602738e-05
925,0.010824479,0.035126675,3.7848843446492704,377111633094631.8,0.0025168877091820844,3.7868770041572115,0.03418820325324008,-0.00025730959690536314,6.245540219346672e-05,0.000846051676761465,0.0014201138509990683,1.7211640839793e-05
1237,0.012855729,0.025739768,4.453937537367399,377112041422631.8,0.007290092294858976,4.458145434462413,0.015729805448384555,-0.00024700423328942315,0.00024079007884981638,0.0005195399496067377,0.0007633504895773378,2.5120626685639322e-05
