timestamp,volt_laser,volt_piezo,piezo_fitted
-0.015623177,0.028631092,-4.312613019,-4.300209814322856
-0.015616667,0.027966831,-4.311262151,-4.298318104455149
-0.015610156,0.02864116,-4.307788899,-4.296426104002207
-0.015603646,0.028195949,-4.306438031,-4.2945343941345
-0.015597135,0.028326611,-4.302964778,-4.292642393681559
-0.015590625,0.02844719,-4.302964778,-4.290750683813852
-0.015584115,0.028181892,-4.30161391,-4.288858973946144
-0.015577604,0.028489405,-4.298140657,-4.286966973493203
-0.015571094,0.028206002,-4.296789789,-4.285075263625496
-0.015564583,0.028370828,-4.293316537,-4.283183263172554
-0.015558073,0.028395938,-4.291965668,-4.281291553304847
-0.015551562,0.028208019,-4.287141548,-4.279399552851906
-0.015545052,0.028438153,-4.282317427,-4.277507842984199
-0.015538542,0.028267308,-4.278844175,-4.2756161331164915
-0.015532031,0.028381882,-4.277493306,-4.27372413266355
-0.015525521,0.028434135,-4.274020055,-4.271832422795843
-0.01551901,0.028352738,-4.272669186,-4.269940422342902
-0.0155125,0.028466296,-4.270546803,-4.268048712475195
-0.01550599,0.028325596,-4.272669186,-4.266157002607487
-0.015499479,0.02833163,-4.267845065,-4.264265002154546
-0.015492969,0.028334633,-4.264371814,-4.2623732922868385
-0.015486458,0.028211036,-4.263020944,-4.260481291833898
-0.015479948,0.028407993,-4.259547693,-4.2585895819661905
-0.015473437,0.028197981,-4.259547693,-4.256697581513249
-0.015466927,0.028585874,-4.258196824,-4.254805871645542
-0.015460417,0.028031139,-4.254723573,-4.252914161777834
-0.015453906,0.028458259,-4.254723573,-4.251022161324894
-0.015447396,0.028383883,-4.253372703,-4.249130451457186
-0.015440885,0.028372844,-4.249899452,-4.247238451004245
-0.015434375,0.028533621,-4.249899452,-4.2453467411365375
-0.015427865,0.028182893,-4.249899452,-4.24345503126883
-0.015421354,0.028448206,-4.249899452,-4.24156303081589
-0.015414844,0.028276345,-4.248548582,-4.239671320948181
-0.015408333,0.028282395,-4.245075331,-4.237779320495241
-0.015401823,0.028575836,-4.245075331,-4.235887610627533
-0.015395312,0.028298468,-4.245075331,-4.233995610174593
-0.015388802,0.028487403,-4.245075331,-4.2321039003068845
-0.015382292,0.028358758,-4.243724461,-4.230212190439177
-0.015375781,0.028263289,-4.240251211,-4.228320189986237
-0.015369271,0.028389918,-4.240251211,-4.226428480118529
-0.01536276,0.028439169,-4.23890034,-4.224536479665588
-0.01535625,0.02841101,-4.23542709,-4.22264476979788
-0.01534974,0.02828743,-4.23542709,-4.220753059930173
-0.015343229,0.028704466,-4.234076219,-4.2188610594772324
-0.015336719,0.028152749,-4.229252099,-4.216969349609525
-0.015330208,0.028521566,-4.225778849,-4.215077349156584
-0.015323698,0.028284397,-4.224427978,-4.213185639288876
-0.015317187,0.028500474,-4.220954729,-4.211293638835936
-0.015310677,0.028506494,-4.219603857,-4.209401928968228
-0.015304167,0.028366809,-4.216130608,-4.207510219100521
-0.015297656,0.028453225,-4.216130608,-4.2056182186475795
-0.015291146,0.028234146,-4.214779736,-4.203726508779872
-0.015284635,0.028429116,-4.209955616,-4.2018345083269315
-0.015278125,0.028416045,-4.206482367,-4.199942798459224
-0.015271615,0.028409024,-4.206482367,-4.198051088591516
-0.015265104,0.028575836,-4.205131495,-4.196159088138575
-0.015258594,0.028284397,-4.200307374,-4.194267378270868
-0.015252083,0.028416045,-4.196834126,-4.192375377817927
-0.015245573,0.028303487,-4.196834126,-4.190483667950219
-0.015239062,0.028374846,-4.195483254,-4.1885916674972785
-0.015232552,0.028444188,-4.192010005,-4.186699957629571
-0.015226042,0.02840399,-4.192010005,-4.184808247761864
-0.015219531,0.028468313,-4.190659133,-4.182916247308922
-0.015213021,0.02847735,-4.185835012,-4.181024537441215
-0.01520651,0.028342685,-4.182361764,-4.179132536988274
-0.0152,0.028351722,-4.181010892,-4.177240827120567
-0.01519349,0.028343701,-4.177537644,-4.17534911725286
-0.015186979,0.028530603,-4.177537644,-4.173457116799918
-0.015180469,0.02826934,-4.177537644,-4.171565406932211
-0.015173958,0.028718537,-4.176186771,-4.16967340647927
-0.015167448,0.028203,-4.172713523,-4.167781696611563
-0.015160937,0.028642175,-4.172713523,-4.165889696158621
-0.015154427,0.028480367,-4.17136265,-4.163997986290914
-0.015147917,0.028474348,-4.167889403,-4.162106276423207
-0.015141406,0.028571817,-4.167889403,-4.160214275970266
-0.015134896,0.028306505,-4.167889403,-4.158322566102559
-0.015128385,0.028436151,-4.166538529,-4.156430565649617
-0.015121875,0.028420063,-4.163065282,-4.15453885578191
-0.015115365,0.028372845,-4.163065282,-4.1526471459142025
-0.015108854,0.028603979,-4.161714408,-4.150755145461262
-0.015102344,0.028391935,-4.158241161,-4.1488634355935545
-0.015095833,0.028534637,-4.156890288,-4.146971435140613
-0.015089323,0.028305489,-4.154767915,-4.145079725272906
-0.015082812,0.028200984,-4.156890287,-4.143187724819965
-0.015076302,0.028363776,-4.152066167,-4.141296014952257
-0.015069792,0.02830552,-4.147242046,-4.1394043050845495
-0.015063281,0.028711501,-4.1437688,-4.137512304631609
-0.015056771,0.028170839,-4.142417925,-4.1356205947639015
-0.01505026,0.028556745,-4.138944679,-4.13372859431096
-0.01504375,0.028346703,-4.138944679,-4.131836884443253
-0.01503724,0.028456258,-4.137593805,-4.129945174575545
-0.015030729,0.02859996,-4.134120559,-4.128053174122605
-0.015024219,0.028421079,-4.132769684,-4.126161464254897
-0.015017708,0.028551726,-4.127945563,-4.124269463801956
-0.015011198,0.028487403,-4.124472318,-4.1223777539342485
-0.015004687,0.028443187,-4.124472318,-4.120485753481308
-0.014998177,0.028431117,-4.123121443,-4.118594043613601
-0.014991667,0.028291433,-4.119648197,-4.116702333745893
-0.014985156,0.028420063,-4.118297322,-4.114810333292952
-0.014978646,0.028288415,-4.113473201,-4.112918623425244
-0.014972135,0.028386901,-4.109999956,-4.111026622972304
-0.014965625,0.028328613,-4.109999956,-4.109134913104596
-0.014959115,0.028343685,-4.109999956,-4.107243203236889
-0.014952604,0.028296452,-4.10864908,-4.105351202783948
-0.014946094,0.028328613,-4.105175835,-4.10345949291624
-0.014939583,0.028357757,-4.10382496,-4.1015674924633
-0.014933073,0.028339667,-4.100351715,-4.099675782595592
-0.014926562,0.028339667,-4.100351715,-4.097783782142652
-0.014920052,0.028346703,-4.100351715,-4.0958920722749435
-0.014913542,0.028343685,-4.099000839,-4.094000362407236
-0.014907031,0.028331631,-4.095527594,-4.0921083619542955
-0.014900521,0.028468313,-4.095527594,-4.090216652086587
-0.01489401,0.028484386,-4.095527594,-4.088324651633647
-0.0148875,0.028227094,-4.095527594,-4.086432941765939
-0.01488099,0.028247233,-4.094176718,-4.084541231898232
-0.014874479,0.028726573,-4.090703474,-4.0826492314452905
-0.014867969,0.028201,-4.090703474,-4.080757521577583
-0.014861458,0.02879493,-4.090703474,-4.0788655211246425
-0.014854948,0.028429116,-4.089352597,-4.076973811256935
-0.014848437,0.028542689,-4.08723023,-4.075081810803995
-0.014841927,0.028600961,-4.089352597,-4.073190100936286
-0.014835417,0.028372845,-4.085879353,-4.071298391068579
-0.014828906,0.028603978,-4.085879353,-4.069406390615638
-0.014822396,0.028363792,-4.084528476,-4.067514680747931
-0.014815885,0.028511528,-4.081055233,-4.06562268029499
-0.014809375,0.028488404,-4.079704355,-4.063730970427282
-0.014802865,0.028317559,-4.076231112,-4.061839260559575
-0.014796354,0.028396954,-4.074880235,-4.059947260106634
-0.014789844,0.02842208,-4.071406992,-4.058055550238927
-0.014783333,0.028461277,-4.071406992,-4.056163549785985
-0.014776823,0.028487403,-4.070056114,-4.054271839918278
-0.014770312,0.02842208,-4.065231993,-4.052379839465337
-0.014763802,0.028299453,-4.060407873,-4.05048812959763
-0.014757292,0.028169839,-4.05693463,-4.048596419729922
-0.014750781,0.028604979,-4.05693463,-4.046704419276981
-0.014744271,0.028217057,-4.055583752,-4.044812709409274
-0.01473776,0.028409025,-4.050759631,-4.042920708956333
-0.01473125,0.028561763,-4.047286389,-4.041028999088625
-0.01472474,0.028332647,-4.047286389,-4.039137289220918
-0.014718229,0.02861905,-4.04593551,-4.037245288767977
-0.014711719,0.02833063,-4.04111139,-4.03535357890027
-0.014705208,0.028530619,-4.036287269,-4.033461578447329
-0.014698698,0.02840499,-4.032814027,-4.031569868579621
-0.014692187,0.028413043,-4.032814027,-4.02967786812668
-0.014685677,0.028560763,-4.031463148,-4.027786158258973
-0.014679167,0.028338667,-4.027989907,-4.0258944483912655
-0.014672656,0.028444188,-4.027989907,-4.024002447938324
-0.014666146,0.028368811,-4.027989907,-4.022110738070617
-0.014659635,0.028342685,-4.026639027,-4.020218737617676
-0.014653125,0.028365793,-4.023165786,-4.018327027749969
-0.014646615,0.02828138,-4.021814907,-4.016435317882261
-0.014640104,0.028361775,-4.018341666,-4.01454331742932
-0.014633594,0.02828238,-4.018341666,-4.0126516075616125
-0.014627083,0.028320577,-4.018341666,-4.010759607108672
-0.014620573,0.02825422,-4.018341666,-4.008867897240965
-0.014614062,0.028112569,-4.016990786,-4.006975896788024
-0.014607552,0.028813003,-4.013517545,-4.005084186920316
-0.014601042,0.028159786,-4.013517545,-4.003192477052608
-0.014594531,0.028588906,-4.013517545,-4.001300476599668
-0.014588021,0.028312524,-4.012166665,-3.999408766731959
-0.01458151,0.028289432,-4.008693424,-3.9975167662790194
-0.014575,0.02860096,-4.008693424,-3.995625056411311
-0.01456849,0.02836581,-4.008693424,-3.993733346543604
-0.014561979,0.028635139,-4.007342544,-3.9918413460906623
-0.014555469,0.028476349,-4.002518423,-3.989949636222955
-0.014548958,0.028454241,-3.999045183,-3.9880576357700153
-0.014542448,0.028413027,-3.997694303,-3.986165925902307
-0.014535937,0.028319576,-3.994221063,-3.9842739254493664
-0.014529427,0.028541672,-3.994221063,-3.982382215581658
-0.014522917,0.028485402,-3.992870182,-3.980490505713951
-0.014516406,0.028595942,-3.988046061,-3.97859850526101
-0.014509896,0.028429116,-3.984572822,-3.976706795393303
-0.014503385,0.028465295,-3.983221941,-3.9748147949403623
-0.014496875,0.028409008,-3.97839782,-3.972923085072654
-0.014490365,0.02834872,-3.976275462,-3.9710313752049466
-0.014483854,0.028326579,-3.97839782,-3.969139374752006
-0.014477344,0.028070354,-3.973573699,-3.9672476648842987
-0.014470833,0.028697428,-3.968749579,-3.965355664431358
-0.014464323,0.02805023,-3.965276339,-3.96346395456365
-0.014457812,0.028410025,-3.963925458,-3.9615719541107093
-0.014451302,0.028464278,-3.960452219,-3.959680244243002
-0.014444792,0.028335666,-3.959101337,-3.9577885343752945
-0.014438281,0.028715534,-3.954277217,-3.955896533922354
-0.014431771,0.02840399,-3.95215486,-3.9540048240546457
-0.01442526,0.028454241,-3.954277216,-3.952112823601705
-0.01441875,0.02844117,-3.950803978,-3.9502211137339978
-0.01441224,0.028427115,-3.950803978,-3.9483294038662895
-0.014405729,0.028625085,-3.949453096,-3.94643740341335
-0.014399219,0.028425098,-3.945979857,-3.9445456935456416
-0.014392708,0.028522582,-3.945979857,-3.942653693092701
-0.014386198,0.028498457,-3.944628975,-3.9407619832249927
-0.014379687,0.028439169,-3.941155737,-3.938869982772053
-0.014373177,0.028488403,-3.941155737,-3.9369782729043448
-0.014366667,0.02836681,-3.939804854,-3.9350865630366374
-0.014360156,0.028488403,-3.936331616,-3.933194562583697
-0.014353646,0.028324595,-3.936331616,-3.9313028527159886
-0.014347135,0.028358757,-3.936331616,-3.929410852263048
-0.014340625,0.028249218,-3.936331616,-3.9275191423953406
-0.014334115,0.028325595,-3.936331616,-3.9256274325276332
-0.014327604,0.028296452,-3.934980733,-3.9237354320746927
-0.014321094,0.028335649,-3.931507496,-3.9218437222069844
-0.014314583,0.028340667,-3.930156612,-3.919951721754044
-0.014308073,0.028221075,-3.926683375,-3.9180600118863365
-0.014301562,0.028196949,-3.926683375,-3.916168011433396
-0.014295052,0.02829245,-3.925332492,-3.9142763015656885
-0.014288542,0.028598943,-3.921859254,-3.9123845916979803
-0.014282031,0.028214056,-3.921859254,-3.9104925912450397
-0.014275521,0.028631121,-3.920508371,-3.9086008813773323
-0.01426901,0.028491421,-3.91568425,-3.9067088809243917
-0.0142625,0.028463295,-3.91086013,-3.9048171710566835
-0.01425599,0.02858287,-3.907386893,-3.902925461188976
-0.014249479,0.028337667,-3.907386893,-3.9010334607360355
-0.014242969,0.028548708,-3.906036009,-3.8991417508683273
-0.014236458,0.028468313,-3.901211888,-3.8972497504153876
-0.014229948,0.028519565,-3.899089536,-3.8953580405476793
-0.014223437,0.028437152,-3.901211888,-3.8934660400947387
-0.014216927,0.0283859,-3.896387767,-3.8915743302270314
-0.014210417,0.028383883,-3.891563647,-3.889682620359323
-0.014203906,0.028288416,-3.889441295,-3.8877906199063825
-0.014197396,0.028400972,-3.891563647,-3.885898910038675
-0.014190885,0.028252219,-3.888090411,-3.8840069095857346
-0.014184375,0.028173858,-3.886739526,-3.882115199718027
-0.014177865,0.028632121,-3.881915405,-3.880223489850319
-0.014171354,0.028316542,-3.87844217,-3.8783314893973784
-0.014164844,0.028232146,-3.877091285,-3.876439779529671
-0.014158333,0.028483368,-3.873618049,-3.8745477790767304
-0.014151823,0.028153751,-3.873618049,-3.872656069209022
-0.014145312,0.028515546,-3.873618049,-3.8707640687560816
-0.014138802,0.028417044,-3.872267164,-3.868872358888374
