timestamp,volt_laser,volt_piezo,piezo_fitted
-0.0233684,0.0035698544,-10.0343276678,-9.987356627804232
-0.0233676,0.0035698544,-9.9852070659,-9.987045461770641
-0.0233668,0.0035698544,-9.9852070659,-9.986734295737051
-0.023366,0.0035698544,-9.9852070659,-9.986423129703462
-0.0233652,0.0007809098,-9.9852070659,-9.98611196366987
-0.0233644,0.0004090504,-9.9852070659,-9.985800797636282
-0.0233636,0.0035698544,-9.9852070659,-9.985489631602691
-0.0233628,0.0035698544,-9.9852070659,-9.985178465569101
-0.023362,0.0035698544,-9.9418653591,-9.98486729953551
-0.0233612,0.0035698544,-9.9360864641,-9.98455613350192
-0.0233604,0.0035698544,-9.9852070659,-9.98424496746833
-0.0233596,0.0035698544,-9.9852070659,-9.98393380143474
-0.0233588,0.0035698544,-9.9852070659,-9.983622635401149
-0.023358,0.0035698544,-9.9852070659,-9.98331146936756
-0.0233572,0.0035698544,-9.9852070659,-9.98300030333397
-0.0233564,0.0035698544,-9.9852070659,-9.98268913730038
-0.0233556,0.0035698544,-9.9852070659,-9.98237797126679
-0.0233548,0.0007809098,-9.9852070659,-9.982066805233199
-0.023354,0.0004090504,-9.9418653591,-9.981755639199609
-0.0233532,0.0035698544,-9.9360864641,-9.981444473166018
-0.0233524,0.0035698544,-9.9418653591,-9.981133307132428
-0.0233516,0.0007809098,-9.9360864641,-9.980822141098837
-0.0233508,0.0004090504,-9.9418653591,-9.980510975065249
-0.02335,0.0035698544,-9.9360864641,-9.980199809031658
-0.0233492,0.0035698544,-9.9852070659,-9.979888642998068
-0.0233484,0.0035698544,-9.9418653591,-9.979577476964478
-0.0233476,0.0007809098,-9.9360864641,-9.979266310930887
-0.0233468,0.0004090504,-9.9852070659,-9.978955144897297
-0.023346,0.0007809098,-9.9418653591,-9.978643978863706
-0.0233452,-0.0023798943,-9.9360864641,-9.978332812830116
-0.0233444,-0.0023798943,-9.9418653591,-9.978021646796527
-0.0233436,0.0004090504,-9.9360864641,-9.977710480762937
-0.0233428,0.0035698544,-9.9852070659,-9.977399314729347
-0.023342,0.0007809098,-9.9852070659,-9.977088148695756
-0.0233412,0.0004090504,-9.9418653591,-9.976776982662166
-0.0233404,0.0035698544,-9.8927447572,-9.976465816628576
-0.0233396,0.0035698544,-9.8927447572,-9.976154650594985
-0.0233388,0.0035698544,-9.9360864641,-9.975843484561395
-0.023338,0.0035698544,-9.9418653591,-9.975532318527806
-0.0233372,0.0035698544,-9.9360864641,-9.975221152494214
-0.0233364,0.0035698544,-9.9852070659,-9.974909986460625
