timestamp,photodiode,volt_piezo,volt_ld,frequencies
-0.02085137,1.47264,-0.2307810990321579,0.0019186577017433,377107949334787.56
-0.02084637,1.47214,-0.2294383229852545,0.0019186945919491,377107950034872.4
-0.02084137,1.47152,-0.228095546938353,0.0019187314821549,377107950734957.2
-0.02083637,1.47079,-0.2267527708914496,0.0019187683723607,377107951435042.06
-0.02083137,1.47003,-0.2254099948445462,0.0019188052625665,377107952135126.9
-0.02082637,1.46929,-0.2240672187976446,0.0019188421527723,377107952835211.7
-0.02082137,1.46865,-0.2227244427507413,0.0019188790429782,377107953535296.5
-0.02081637,1.46814,-0.2213816667038397,0.001918915933184,377107954235381.3
-0.02081137,1.46783,-0.2200388906569363,0.0019189528233898,377107954935466.2
-0.02080637,1.46772,-0.2186961146100348,0.0019189897135956,377107955635551.0
-0.02080137,1.46783,-0.2173533385631314,0.0019190266038014,377107956335635.8
-0.02079637,1.46817,-0.2160105625162298,0.0019190634940072,377107957035720.6
-0.02079137,1.46868,-0.2146677864693265,0.001919100384213,377107957735805.44
-0.02078637,1.46932,-0.213325010422424,0.0019191372744189,377107958435890.3
-0.02078137,1.47008,-0.2119822343755215,0.0019191741646247,377107959135975.1
-0.02077637,1.47087,-0.210639458328619,0.0019192110548305,377107959836059.94
-0.02077137,1.47163,-0.2092966822817166,0.0019192479450363,377107960536144.75
-0.02076637,1.4723,-0.2079539062348141,0.0019192848352421,377107961236229.56
-0.02076137,1.47284,-0.2066111301879116,0.0019193217254479,377107961936314.44
-0.02075637,1.47323,-0.2052683541410092,0.0019193586156537,377107962636399.25
-0.02075137,1.47351,-0.2039255780941067,0.0019193955058595,377107963336484.06
-0.02074637,1.47368,-0.2025828020472042,0.0019194323960654,377107964036568.9
-0.02074137,1.47368,-0.2012400260003009,0.0019194692862712,377107964736653.7
-0.02073637,1.4736,-0.1998972499533993,0.001919506176477,377107965436738.56
-0.02073137,1.47346,-0.1985544739064959,0.0019195430666828,377107966136823.4
-0.02072637,1.47332,-0.1972116978595943,0.0019195799568886,377107966836908.2
-0.02072137,1.47315,-0.195868921812691,0.0019196168470944,377107967536993.0
-0.02071637,1.47304,-0.1945261457657894,0.0019196537373002,377107968237077.9
-0.02071137,1.47295,-0.193183369718886,0.0019196906275061,377107968937162.7
-0.02070637,1.47289,-0.1918405936719844,0.0019197275177119,377107969637247.5
-0.02070137,1.47284,-0.1904978176250811,0.0019197644079177,377107970337332.3
-0.02069637,1.47278,-0.1891550415781786,0.0019198012981235,377107971037417.1
-0.02069137,1.47275,-0.1878122655312761,0.0019198381883293,377107971737502.0
-0.02068637,1.47267,-0.1864694894843737,0.0019198750785351,377107972437586.8
-0.02068137,1.4725,-0.1851267134374712,0.0019199119687409,377107973137671.6
-0.02067637,1.47233,-0.1837839373905687,0.0019199488589468,377107973837756.44
-0.02067137,1.47214,-0.1824411613436662,0.0019199857491526,377107974537841.25
-0.02066637,1.47188,-0.1810983852967638,0.0019200226393584,377107975237926.1
-0.02066137,1.47163,-0.1797556092498604,0.0019200595295642,377107975938010.94
-0.02065637,1.4714,-0.1784128332029588,0.00192009641977,377107976638095.75
-0.02065137,1.47124,-0.1770700571560555,0.0019201333099758,377107977338180.56
-0.02064637,1.47109,-0.1757272811091539,0.0019201702001816,377107978038265.4
-0.02064137,1.47101,-0.1743845050622505,0.0019202070903874,377107978738350.25
-0.02063637,1.47101,-0.1730417290153489,0.0019202439805933,377107979438435.06
-0.02063137,1.47112,-0.1716989529684456,0.0019202808707991,377107980138519.9
-0.02062637,1.47126,-0.170356176921544,0.0019203177610049,377107980838604.7
-0.02062137,1.47143,-0.1690134008746406,0.0019203546512107,377107981538689.5
-0.02061637,1.47163,-0.1676706248277373,0.0019203915414165,377107982238774.4
-0.02061137,1.4718,-0.1663278487808357,0.0019204284316223,377107982938859.2
-0.02060637,1.47194,-0.1649850727339323,0.0019204653218281,377107983638944.0
-0.02060137,1.47208,-0.1636422966870307,0.001920502212034,377107984339028.8
-0.02059637,1.47214,-0.1622995206401274,0.0019205391022398,377107985039113.7
-0.02059137,1.47219,-0.1609567445932258,0.0019205759924456,377107985739198.5
-0.02058637,1.47216,-0.1596139685463224,0.0019206128826514,377107986439283.3
-0.02058137,1.47211,-0.1582711924994209,0.0019206497728572,377107987139368.1
-0.02057637,1.47205,-0.1569284164525175,0.001920686663063,377107987839452.94
-0.02057137,1.47202,-0.155585640405615,0.0019207235532688,377107988539537.8
-0.02056637,1.47202,-0.1542428643587126,0.0019207604434747,377107989239622.6
-0.02056137,1.47205,-0.1529000883118101,0.0019207973336805,377107989939707.44
-0.02055637,1.47216,-0.1515573122649076,0.0019208342238863,377107990639792.25
-0.02055137,1.47233,-0.1502145362180051,0.0019208711140921,377107991339877.06
-0.02054637,1.47253,-0.1488717601711027,0.0019209080042979,377107992039961.94
-0.02054137,1.47278,-0.1475289841242002,0.0019209448945037,377107992740046.75
-0.02053637,1.47306,-0.1461862080772977,0.0019209817847095,377107993440131.56
-0.02053137,1.47332,-0.1448434320303953,0.0019210186749153,377107994140216.4
-0.02052637,1.47363,-0.1435006559834919,0.0019210555651212,377107994840301.2
-0.02052137,1.47388,-0.1421578799365903,0.001921092455327,377107995540386.06
-0.02051637,1.4741,-0.140815103889687,0.0019211293455328,377107996240470.9
-0.02051137,1.47424,-0.1394723278427854,0.0019211662357386,377107996940555.7
-0.02050637,1.47433,-0.138129551795882,0.0019212031259444,377107997640640.5
-0.02050137,1.47439,-0.1367867757489804,0.0019212400161502,377107998340725.3
-0.02049637,1.47436,-0.1354439997020771,0.001921276906356,377107999040810.2
-0.02049137,1.4743,-0.1341012236551746,0.0019213137965619,377107999740895.0
-0.02048637,1.47419,-0.1327584476082721,0.0019213506867677,377108000440979.8
-0.02048137,1.47405,-0.1314156715613696,0.0019213875769735,377108001141064.6
-0.02047637,1.47391,-0.1300728955144672,0.0019214244671793,377108001841149.5
-0.02047137,1.47371,-0.1287301194675647,0.0019214613573851,377108002541234.3
-0.02046637,1.47349,-0.1273873434206622,0.0019214982475909,377108003241319.1
-0.02046137,1.47326,-0.1260445673737598,0.0019215351377967,377108003941403.94
-0.02045637,1.47304,-0.1247017913268573,0.0019215720280026,377108004641488.75
-0.02045137,1.47284,-0.1233590152799548,0.0019216089182084,377108005341573.6
-0.02044637,1.47261,-0.1220162392330515,0.0019216458084142,377108006041658.44
-0.02044137,1.47242,-0.1206734631861499,0.00192168269862,377108006741743.25
-0.02043637,1.47222,-0.1193306871392465,0.0019217195888258,377108007441828.06
-0.02043137,1.47205,-0.1179879110923449,0.0019217564790316,377108008141912.9
-0.02042637,1.47188,-0.1166451350454416,0.0019217933692374,377108008841997.75
-0.02042137,1.47171,-0.11530235899854,0.0019218302594432,377108009542082.56
-0.02041637,1.47154,-0.1139595829516366,0.0019218671496491,377108010242167.4
-0.02041137,1.47135,-0.112616806904735,0.0019219040398549,377108010942252.2
-0.02040637,1.47115,-0.1112740308578317,0.0019219409300607,377108011642337.0
-0.02040137,1.47093,-0.1099312548109283,0.0019219778202665,377108012342421.9
-0.02039637,1.4707,-0.1085884787640267,0.0019220147104723,377108013042506.7
-0.02039137,1.47045,-0.1072457027171234,0.0019220516006781,377108013742591.5
-0.02038637,1.47017,-0.1059029266702218,0.0019220884908839,377108014442676.3
-0.02038137,1.46986,-0.1045601506233184,0.0019221253810898,377108015142761.1
-0.02037637,1.46958,-0.1032173745764168,0.0019221622712956,377108015842846.0
-0.02037137,1.46932,-0.1018745985295135,0.0019221991615014,377108016542930.8
-0.02036637,1.46913,-0.1005318224826119,0.0019222360517072,377108017243015.6
-0.02036137,1.46896,-0.0991890464357085,0.001922272941913,377108017943100.44
-0.02035637,1.46884,-0.0978462703888061,0.0019223098321188,377108018643185.3
-0.02035137,1.46876,-0.0965034943419036,0.0019223467223246,377108019343270.1
-0.02034637,1.46876,-0.0951607182950011,0.0019223836125305,377108020043354.94
-0.02034137,1.46876,-0.0938179422480987,0.0019224205027363,377108020743439.75
-0.02033637,1.46882,-0.0924751662011962,0.0019224573929421,377108021443524.56
-0.02033137,1.46893,-0.0911323901542937,0.0019224942831479,377108022143609.44
-0.02032637,1.46901,-0.0897896141073912,0.0019225311733537,377108022843694.25
-0.02032137,1.4691,-0.0884468380604879,0.0019225680635595,377108023543779.06
-0.02031637,1.46913,-0.0871040620135863,0.0019226049537653,377108024243863.9
-0.02031137,1.46915,-0.0857612859666829,0.0019226418439711,377108024943948.7
-0.02030637,1.46915,-0.0844185099197813,0.001922678734177,377108025644033.56
-0.02030137,1.46913,-0.083075733872878,0.0019227156243828,377108026344118.4
-0.02029637,1.46904,-0.0817329578259764,0.0019227525145886,377108027044203.2
-0.02029137,1.46893,-0.080390181779073,0.0019227894047944,377108027744288.0
-0.02028637,1.46879,-0.0790474057321715,0.0019228262950002,377108028444372.8
-0.02028137,1.46856,-0.0777046296852681,0.001922863185206,377108029144457.7
-0.02027637,1.46834,-0.0763618536383656,0.0019229000754118,377108029844542.5
-0.02027137,1.46806,-0.0750190775914632,0.0019229369656177,377108030544627.3
