indices,timestamp,pd_peaks,piezo_peaks,ld_peaks,freq,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
1471,-0.01385137,1.02179,1.6491053666313915,0.0019703039898824,377108945610922.8,0.08510808140644281,-0.013885709164607607,0.00026219029023713,-0.043693042748070926,0.0018248177905714794,1.6946500511611368e-06,8.522398697292207e-06,0.002019417260421174
1749,-0.01246137,0.882967,2.022397107670296,0.0019805594670986,377109126401922.8,0.12368562133615371,-0.012469777144042236,0.0001937432919841817,-0.04043016341530373,0.0014422355154909145,1.9092154718618825e-06,4.903741636548792e-06,0.001217899225178674
2037,-0.01102137,0.850372,2.4091166091782257,0.0019911838463729,377109307192922.8,0.11957935338812135,-0.011010973859216793,0.00019014530524687312,-0.03717037217696646,0.001989640385421318,3.0776248632851584e-06,6.158004064644701e-06,0.0010100849096934964
4802,0.002803627,1.32052,6.1218915731981065,0.0020931852433135,377111224766631.8,0.021053882198692885,0.002740177790681779,0.00016152080898711762,-0.0038537292264424474,0.0005022975775538332,3.7960257326201343e-06,7.160595420566999e-06,0.00021467143318202808
5876,0.008173627,1.18437,7.564033047571428,0.0021328053243574,377112041422631.8,0.059847838462550214,0.008208007769081507,0.0002170100479098717,-0.014806186640278177,0.00033649579306138135,1.1656850802026937e-06,2.4653576348859757e-06,0.00019714543634571425
