indices,laser_pèaks,piezo_pèaks,ld_pèaks
1471,1.02179,1.6491053666313915,0.0019703039898824
1749,0.882967,2.022397107670296,0.0019805594670986
2037,0.850372,2.4091166091782257,0.0019911838463729
4802,1.32052,6.1218915731981065,0.0020931852433135
5876,1.18437,7.564033047571428,0.0021328053243574
