timestamp,volt_laser,volt_piezo,volt_ld,offset
-0.02120637,1.47121,-0.326118198362237,0.0019160384971305,-0.014883354958403539
-0.02120137,1.47093,-0.3247754223153345,0.0019160753873363,-0.015146818265018736
-0.02119637,1.47056,-0.323432646268432,0.0019161122775421,-0.015500281571634078
-0.02119137,1.47014,-0.3220898702215296,0.0019161491677479,-0.015903744878249526
-0.02118637,1.46969,-0.3207470941746271,0.0019161860579538,-0.01633720818486495
-0.02118137,1.46927,-0.3194043181277246,0.0019162229481596,-0.016740671491480175
-0.02117637,1.46884,-0.3180615420808221,0.0019162598383654,-0.017154134798095688
-0.02117137,1.46845,-0.3167187660339188,0.0019162967285712,-0.017527598104710718
-0.02116637,1.46811,-0.3153759899870172,0.001916333618777,-0.017851061411326086
-0.02116137,1.46786,-0.3140332139401138,0.0019163705089828,-0.01808452471794153
-0.02115637,1.46769,-0.3126904378932122,0.0019164073991886,-0.018237988024556895
-0.02115137,1.46764,-0.3113476618463089,0.0019164442893945,-0.01827145133117214
-0.02114637,1.46764,-0.3100048857994073,0.0019164811796003,-0.0182549146377875
-0.02114137,1.46775,-0.3086621097525039,0.0019165180698061,-0.018128377944402807
-0.02113637,1.46789,-0.3073193337056024,0.0019165549600119,-0.01797184125101836
-0.02113137,1.46803,-0.305976557658699,0.0019165918502177,-0.017815304557633693
-0.02112637,1.4682,-0.3046337816117965,0.0019166287404235,-0.01762876786424905
-0.02112137,1.46834,-0.3032910055648941,0.0019166656306293,-0.017472231170864383
-0.02111637,1.46848,-0.3019482295179916,0.0019167025208351,-0.017315694477479715
-0.02111137,1.46854,-0.3006054534710891,0.001916739411041,-0.017239157784095127
-0.02110637,1.46859,-0.2992626774241866,0.0019167763012468,-0.017172621090710383
-0.02110137,1.46856,-0.2979199013772842,0.0019168131914526,-0.017186084397325718
-0.02109637,1.46851,-0.2965771253303817,0.0019168500816584,-0.017219547703941185
-0.02109137,1.46845,-0.2952343492834792,0.0019168869718642,-0.017263011010556273
-0.02108637,1.46839,-0.2938915732365768,0.00191692386207,-0.017306474317171583
-0.02108137,1.46834,-0.2925487971896734,0.0019169607522758,-0.01733993762378705
-0.02107637,1.46834,-0.2912060211427718,0.0019169976424817,-0.01732340093040241
-0.02107137,1.46839,-0.2898632450958684,0.0019170345326875,-0.017256864237017666
-0.02106637,1.46851,-0.2885204690489669,0.0019170714228933,-0.01712032754363313
-0.02106137,1.46865,-0.2871776930020635,0.0019171083130991,-0.01696379085024846
-0.02105637,1.46882,-0.2858349169551619,0.0019171452033049,-0.01677725415686382
-0.02105137,1.46901,-0.2844921409082586,0.0019171820935107,-0.016570717463479268
-0.02104637,1.46924,-0.2831493648613552,0.0019172189837165,-0.016324180770094454
-0.02104137,1.46949,-0.2818065888144536,0.0019172558739224,-0.016057644076709954
-0.02103637,1.46974,-0.2804638127675503,0.0019172927641282,-0.01579110738332523
-0.02103137,1.47003,-0.2791210367206487,0.001917329654334,-0.015484570689940691
-0.02102637,1.47031,-0.2777782606737453,0.0019173665445398,-0.015188033996555994
-0.02102137,1.47059,-0.2764354846268437,0.0019174034347456,-0.014891497303171075
-0.02101637,1.47087,-0.2750927085799404,0.0019174403249514,-0.0145949606097866
-0.02101137,1.47121,-0.2737499325330388,0.0019174772151572,-0.014238423916401954
-0.02100637,1.47149,-0.2724071564861354,0.0019175141053631,-0.013941887223017257
-0.02100137,1.47177,-0.271064380439233,0.0019175509955689,-0.01364535052963256
-0.02099637,1.47208,-0.2697216043923305,0.0019175878857747,-0.01331881383624789
-0.02099137,1.47239,-0.268378828345428,0.0019176247759805,-0.012992277142863218
-0.02098637,1.47267,-0.2670360522985255,0.0019176616661863,-0.012695740449478743
-0.02098137,1.47292,-0.2656932762516231,0.0019176985563921,-0.01242920375609402
-0.02097637,1.47318,-0.2643505002047206,0.0019177354465979,-0.012152667062709455
-0.02097137,1.47343,-0.2630077241578181,0.0019177723368037,-0.011886130369324732
-0.02096637,1.47365,-0.2616649481109157,0.0019178092270096,-0.011649593675940206
-0.02096137,1.47382,-0.2603221720640132,0.0019178461172154,-0.011463056982555564
-0.02095637,1.47399,-0.2589793960171098,0.0019178830074212,-0.011276520289170922
-0.02095137,1.4741,-0.2576366199702082,0.001917919897627,-0.011149983595786228
-0.02094637,1.47416,-0.2562938439233049,0.0019179567878328,-0.011073446902401418
-0.02094137,1.47416,-0.2549510678764033,0.0019179936780386,-0.011056910209017001
-0.02093637,1.47408,-0.2536082918294999,0.0019180305682444,-0.011120373515631998
-0.02093137,1.47394,-0.2522655157825983,0.0019180674584503,-0.011243836822247388
-0.02092637,1.47374,-0.250922739735695,0.0019181043486561,-0.011427300128862727
-0.02092137,1.47354,-0.2495799636887934,0.0019181412388619,-0.011610763435478066
-0.02091637,1.47332,-0.24823718764189,0.0019181781290677,-0.011814226742093537
-0.02091137,1.47306,-0.2468944115949876,0.0019182150192735,-0.012057690048708825
-0.02090637,1.47287,-0.2455516355480851,0.0019182519094793,-0.01223115335532432
-0.02090137,1.47273,-0.2442088595011826,0.0019182887996851,-0.012354616661939488
-0.02089637,1.47267,-0.2428660834542801,0.001918325689891,-0.01239807996855502
-0.02089137,1.4727,-0.2415233074073777,0.0019183625800968,-0.012351543275170407
-0.02088637,1.47278,-0.2401805313604752,0.0019183994703026,-0.012255006581785688
-0.02088137,1.47292,-0.2388377553135727,0.0019184363605084,-0.01209846988840102
-0.02087637,1.47306,-0.2374949792666703,0.0019184732507142,-0.011941933195016352
