timestamp,photodiode,volt_piezo,volt_ld,offset,frequencies
-0.02120637,1.47121,-0.326118198362237,0.0019160384971305,-0.0148833549584035,377108044122558.4
-0.02120137,1.47093,-0.3247754223153345,0.0019160753873363,-0.0151468182650187,377108044714684.4
-0.02119637,1.47056,-0.323432646268432,0.0019161122775421,-0.015500281571634,377108045306840.25
-0.02119137,1.47014,-0.3220898702215296,0.0019161491677479,-0.0159037448782495,377108045899025.94
-0.02118637,1.46969,-0.3207470941746271,0.0019161860579538,-0.0163372081848649,377108046491241.4
-0.02118137,1.46927,-0.3194043181277246,0.0019162229481596,-0.0167406714914801,377108047083486.6
-0.02117637,1.46884,-0.3180615420808221,0.0019162598383654,-0.0171541347980956,377108047675761.7
-0.02117137,1.46845,-0.3167187660339188,0.0019162967285712,-0.0175275981047107,377108048268066.5
-0.02116637,1.46811,-0.3153759899870172,0.001916333618777,-0.017851061411326,377108048860401.1
-0.02116137,1.46786,-0.3140332139401138,0.0019163705089828,-0.0180845247179415,377108049452765.6
-0.02115637,1.46769,-0.3126904378932122,0.0019164073991886,-0.0182379880245568,377108050045159.8
-0.02115137,1.46764,-0.3113476618463089,0.0019164442893945,-0.0182714513311721,377108050637583.9
-0.02114637,1.46764,-0.3100048857994073,0.0019164811796003,-0.0182549146377875,377108051230037.75
-0.02114137,1.46775,-0.3086621097525039,0.0019165180698061,-0.0181283779444028,377108051822521.4
-0.02113637,1.46789,-0.3073193337056024,0.0019165549600119,-0.0179718412510183,377108052415034.8
-0.02113137,1.46803,-0.305976557658699,0.0019165918502177,-0.0178153045576336,377108053007578.06
-0.02112637,1.4682,-0.3046337816117965,0.0019166287404235,-0.017628767864249,377108053600151.06
-0.02112137,1.46834,-0.3032910055648941,0.0019166656306293,-0.0174722311708643,377108054192753.9
-0.02111637,1.46848,-0.3019482295179916,0.0019167025208351,-0.0173156944774797,377108054785386.5
-0.02111137,1.46854,-0.3006054534710891,0.001916739411041,-0.0172391577840951,377108055378048.94
-0.02110637,1.46859,-0.2992626774241866,0.0019167763012468,-0.0171726210907103,377108055970741.2
-0.02110137,1.46856,-0.2979199013772842,0.0019168131914526,-0.0171860843973257,377108056563463.2
-0.02109637,1.46851,-0.2965771253303817,0.0019168500816584,-0.0172195477039411,377108057156215.06
-0.02109137,1.46845,-0.2952343492834792,0.0019168869718642,-0.0172630110105562,377108057748996.7
-0.02108637,1.46839,-0.2938915732365768,0.00191692386207,-0.0173064743171715,377108058341808.06
-0.02108137,1.46834,-0.2925487971896734,0.0019169607522758,-0.017339937623787,377108058934649.3
-0.02107637,1.46834,-0.2912060211427718,0.0019169976424817,-0.0173234009304024,377108059527520.3
-0.02107137,1.46839,-0.2898632450958684,0.0019170345326875,-0.0172568642370176,377108060120421.1
-0.02106637,1.46851,-0.2885204690489669,0.0019170714228933,-0.0171203275436331,377108060713351.75
-0.02106137,1.46865,-0.2871776930020635,0.0019171083130991,-0.0169637908502484,377108061306312.2
-0.02105637,1.46882,-0.2858349169551619,0.0019171452033049,-0.0167772541568638,377108061899302.4
-0.02105137,1.46901,-0.2844921409082586,0.0019171820935107,-0.0165707174634792,377108062492322.4
-0.02104637,1.46924,-0.2831493648613552,0.0019172189837165,-0.0163241807700944,377108063085372.2
-0.02104137,1.46949,-0.2818065888144536,0.0019172558739224,-0.0160576440767099,377108063678451.8
-0.02103637,1.46974,-0.2804638127675503,0.0019172927641282,-0.0157911073833252,377108064271561.2
-0.02103137,1.47003,-0.2791210367206487,0.001917329654334,-0.0154845706899406,377108064864700.44
-0.02102637,1.47031,-0.2777782606737453,0.0019173665445398,-0.0151880339965559,377108065457869.44
-0.02102137,1.47059,-0.2764354846268437,0.0019174034347456,-0.014891497303171,377108066051068.25
-0.02101637,1.47087,-0.2750927085799404,0.0019174403249514,-0.0145949606097866,377108066644296.8
-0.02101137,1.47121,-0.2737499325330388,0.0019174772151572,-0.0142384239164019,377108067237555.2
-0.02100637,1.47149,-0.2724071564861354,0.0019175141053631,-0.0139418872230172,377108067830843.44
-0.02100137,1.47177,-0.271064380439233,0.0019175509955689,-0.0136453505296325,377108068424161.44
-0.02099637,1.47208,-0.2697216043923305,0.0019175878857747,-0.0133188138362478,377108069017509.2
-0.02099137,1.47239,-0.268378828345428,0.0019176247759805,-0.0129922771428632,377108069610886.8
-0.02098637,1.47267,-0.2670360522985255,0.0019176616661863,-0.0126957404494787,377108070204294.2
-0.02098137,1.47292,-0.2656932762516231,0.0019176985563921,-0.012429203756094,377108070797731.4
-0.02097637,1.47318,-0.2643505002047206,0.0019177354465979,-0.0121526670627094,377108071391198.4
-0.02097137,1.47343,-0.2630077241578181,0.0019177723368037,-0.0118861303693247,377108071984695.1
-0.02096637,1.47365,-0.2616649481109157,0.0019178092270096,-0.0116495936759402,377108072578221.75
-0.02096137,1.47382,-0.2603221720640132,0.0019178461172154,-0.0114630569825555,377108073171778.1
-0.02095637,1.47399,-0.2589793960171098,0.0019178830074212,-0.0112765202891709,377108073765364.3
-0.02095137,1.4741,-0.2576366199702082,0.001917919897627,-0.0111499835957862,377108074358980.3
-0.02094637,1.47416,-0.2562938439233049,0.0019179567878328,-0.0110734469024014,377108074952626.06
-0.02094137,1.47416,-0.2549510678764033,0.0019179936780386,-0.011056910209017,377108075546301.6
-0.02093637,1.47408,-0.2536082918294999,0.0019180305682444,-0.0111203735156319,377108076140007.0
-0.02093137,1.47394,-0.2522655157825983,0.0019180674584503,-0.0112438368222473,377108076733742.2
